year,Delta14C,Delta14C Graven et al. (2017),Delta14C Graven et al. (2020) SSP370
1850,-2.3,-2.3,
1851,-2.6,-2.6,
1852,-2.9,-2.9,
1853,-3.2,-3.2,
1854,-3.5,-3.5,
1855,-3.7,-3.7,
1856,-3.8,-3.8,
1857,-3.8,-3.8,
1858,-3.8,-3.8,
1859,-3.9,-3.9,
1860,-4,-4,
1861,-4.2,-4.2,
1862,-4.5,-4.5,
1863,-4.7,-4.7,
1864,-4.9,-4.9,
1865,-5,-5,
1866,-4.9,-4.9,
1867,-4.8,-4.8,
1868,-4.7,-4.7,
1869,-4.6,-4.6,
1870,-4.6,-4.6,
1871,-4.9,-4.9,
1872,-5.1,-5.1,
1873,-5.3,-5.3,
1874,-5.6,-5.6,
1875,-5.6,-5.6,
1876,-5.3,-5.3,
1877,-5.1,-5.1,
1878,-4.9,-4.9,
1879,-4.6,-4.6,
1880,-4.5,-4.5,
1881,-4.6,-4.6,
1882,-4.7,-4.7,
1883,-4.7,-4.7,
1884,-4.8,-4.8,
1885,-4.8,-4.8,
1886,-4.8,-4.8,
1887,-4.9,-4.9,
1888,-4.9,-4.9,
1889,-4.9,-4.9,
1890,-4.7,-4.7,
1891,-4.4,-4.4,
1892,-4,-4,
1893,-3.6,-3.6,
1894,-3.3,-3.3,
1895,-3.1,-3.1,
1896,-3,-3,
1897,-3,-3,
1898,-2.9,-2.9,
1899,-2.8,-2.8,
1900,-3,-3,
1901,-3.4,-3.4,
1902,-3.9,-3.9,
1903,-4.3,-4.3,
1904,-4.7,-4.7,
1905,-5.2,-5.2,
1906,-5.7,-5.7,
1907,-6.2,-6.2,
1908,-6.7,-6.7,
1909,-7.2,-7.2,
1910,-7.6,-7.6,
1911,-7.9,-7.9,
1912,-8.1,-8.1,
1913,-8.3,-8.3,
1914,-8.6,-8.6,
1915,-9.1,-9.1,
1916,-9.8,-9.8,
1917,-10.6,-10.6,
1918,-11.3,-11.3,
1919,-12,-12,
1920,-12.5,-12.5,
1921,-12.7,-12.7,
1922,-12.9,-12.9,
1923,-13,-13,
1924,-13.2,-13.2,
1925,-13.6,-13.6,
1926,-14.2,-14.2,
1927,-14.9,-14.9,
1928,-15.5,-15.5,
1929,-16.1,-16.1,
1930,-16.5,-16.5,
1931,-16.6,-16.6,
1932,-16.8,-16.8,
1933,-17,-17,
1934,-17.1,-17.1,
1935,-17.5,-17.5,
1936,-18,-18,
1937,-18.6,-18.6,
1938,-19.2,-19.2,
1939,-19.7,-19.7,
1940,-20.3,-20.3,
1941,-20.8,-20.8,
1942,-21.3,-21.3,
1943,-21.8,-21.8,
1944,-22.3,-22.3,
1945,-22.7,-22.7,
1946,-23.1,-23.1,
1947,-23.5,-23.5,
1948,-23.9,-23.9,
1949,-24.3,-24.3,
1950,-24.8,-24.8,
1951,-24.8,-24.8,
1952,-24.9,-24.9,
1953,-23.9,-23.9,
1954,-21.1,-21.1,
1955,-8.2,-8.2,
1956,26.5,26.5,
1957,73,73,
1958,140.2,140.2,
1959,228,228,
1960,212.3,212.3,
1961,221.7,221.7,
1962,358.5,358.5,
1963,718.3,718.3,
1964,835.7,835.7,
1965,756.3,756.3,
1966,691.9,691.9,
1967,623.6,623.6,
1968,564.5,564.5,
1969,545.4,545.4,
1970,529.1,529.1,
1971,499.4,499.4,
1972,465.6,465.6,
1973,418.6,418.6,
1974,400.8,400.8,
1975,369.8,369.8,
1976,352.5,352.5,
1977,333.9,333.9,
